Date,DAIRY,DLLO,RCTV,TRGC,WSLO,Hagg
1/1/1981,0.01,0.00,0.00,0.01,0.00,0.00
1/2/1981,0.00,0.00,0.00,0.00,0.01,0.00
1/3/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/4/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/5/1981,0.01,0.00,0.00,0.00,0.00,0.00
1/6/1981,0.04,0.00,0.00,0.02,0.00,0.00
1/7/1981,0.01,0.00,0.00,0.00,0.00,0.00
1/8/1981,0.03,0.01,0.03,0.01,0.02,0.01
1/9/1981,0.05,0.05,0.05,0.06,0.06,0.06
1/10/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/11/1981,0.01,0.00,0.00,0.00,0.00,0.00
1/12/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/13/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/14/1981,0.00,0.00,0.00,0.00,0.00,0.00
1/15/1981,0.01,0.00,0.00,0.00,0.00,0.00
1/16/1981,0.06,0.06,0.02,0.05,0.03,0.05
1/17/1981,0.22,0.32,0.14,0.29,0.15,0.29
1/18/1981,0.39,0.34,0.19,0.43,0.19,0.38
1/19/1981,0.00,0.00,0.01,0.00,0.00,0.00
1/20/1981,0.19,0.21,0.18,0.21,0.17,0.21
1/21/1981,0.82,0.86,0.64,0.89,0.66,0.87
1/22/1981,0.65,0.64,0.39,0.68,0.41,0.64
1/23/1981,0.81,0.88,0.46,0.94,0.53,0.90
1/24/1981,0.36,0.29,0.25,0.40,0.28,0.36
1/25/1981,0.46,0.53,0.29,0.54,0.32,0.53
1/26/1981,1.31,1.72,0.94,1.54,0.98,1.58
1/27/1981,0.51,0.59,0.35,0.55,0.33,0.56
1/28/1981,0.80,1.13,0.71,1.05,0.75,1.10
1/29/1981,0.51,0.65,0.42,0.65,0.48,0.66
1/30/1981,0.05,0.01,0.03,0.02,0.02,0.01
1/31/1981,0.05,0.02,0.07,0.03,0.05,0.03
2/1/1981,0.02,0.01,0.00,0.03,0.00,0.02
2/2/1981,0.00,0.00,0.00,0.00,0.00,0.00
2/3/1981,0.00,0.00,0.01,0.00,0.00,0.00
2/4/1981,0.16,0.22,0.17,0.22,0.17,0.23
2/5/1981,0.60,0.85,0.56,0.84,0.60,0.87
2/6/1981,0.00,0.00,0.00,0.00,0.00,0.00
2/7/1981,0.00,0.00,0.00,0.00,0.00,0.00
2/8/1981,0.03,0.01,0.02,0.02,0.02,0.02
2/9/1981,0.15,0.12,0.11,0.13,0.09,0.13
2/10/1981,0.18,0.37,0.18,0.28,0.17,0.34
2/11/1981,0.61,0.73,0.63,0.76,0.58,0.78
2/12/1981,1.47,1.81,0.97,1.87,1.00,1.89
2/13/1981,1.21,1.48,0.98,1.37,0.90,1.39
2/14/1981,1.41,1.99,0.84,1.80,0.98,1.86
2/15/1981,1.07,1.77,0.59,1.44,0.66,1.52
2/16/1981,1.55,2.55,0.90,2.11,1.02,2.25
2/17/1981,0.90,1.03,0.58,0.97,0.58,0.97
2/18/1981,2.20,2.34,1.71,2.31,1.56,2.28
2/19/1981,3.77,4.24,2.39,4.26,2.48,4.15
2/20/1981,0.42,0.52,0.19,0.47,0.21,0.45
2/21/1981,0.00,0.01,0.00,0.00,0.00,0.01
2/22/1981,0.00,0.00,0.00,0.00,0.00,0.00
2/23/1981,0.15,0.12,0.16,0.15,0.16,0.13
2/24/1981,0.58,0.49,0.67,0.59,0.66,0.51
2/25/1981,0.09,0.11,0.09,0.11,0.10,0.10
2/26/1981,0.03,0.03,0.04,0.03,0.05,0.03
2/27/1981,0.06,0.06,0.04,0.08,0.07,0.08
2/28/1981,0.04,0.00,0.00,0.00,0.00,0.00
3/1/1981,0.13,0.00,0.00,0.00,0.00,0.00
3/2/1981,0.08,0.04,0.07,0.05,0.05,0.05
3/3/1981,0.71,0.61,0.67,0.64,0.60,0.63
3/4/1981,1.53,1.66,1.28,1.70,1.42,1.69
3/5/1981,0.05,0.03,0.01,0.04,0.00,0.03
3/6/1981,0.06,0.16,0.04,0.10,0.06,0.14
3/7/1981,0.27,0.21,0.18,0.25,0.19,0.21
3/8/1981,0.25,0.17,0.06,0.27,0.09,0.20
3/9/1981,0.00,0.00,0.00,0.00,0.00,0.00
3/10/1981,0.00,0.00,0.00,0.00,0.00,0.00
3/11/1981,0.00,0.00,0.00,0.00,0.00,0.00
3/12/1981,0.00,0.00,0.00,0.00,0.00,0.00
3/13/1981,0.00,0.00,0.00,0.00,0.00,0.00
3/14/1981,0.14,0.18,0.15,0.14,0.17,0.16
3/15/1981,0.71,0.88,0.74,0.76,0.74,0.82
3/16/1981,0.70,0.68,0.49,0.78,0.51,0.75
3/17/1981,0.01,0.01,0.07,0.02,0.08,0.02
3/18/1981,0.01,0.01,0.01,0.01,0.01,0.01
3/19/1981,0.01,0.03,0.00,0.02,0.01,0.03
3/20/1981,0.03,0.06,0.04,0.05,0.07,0.05
3/21/1981,0.13,0.21,0.18,0.16,0.22,0.18
3/22/1981,0.42,0.58,0.32,0.50,0.37,0.53
3/23/1981,0.65,0.79,0.43,0.82,0.43,0.78
3/24/1981,0.29,0.38,0.35,0.34,0.38,0.35
3/25/1981,1.13,1.36,0.89,1.32,0.96,1.34
3/26/1981,0.25,0.69,0.19,0.44,0.22,0.60
3/27/1981,0.03,0.07,0.01,0.06,0.02,0.07
3/28/1981,0.11,0.17,0.03,0.14,0.05,0.15
3/29/1981,0.49,0.80,0.16,0.61,0.19,0.66
3/30/1981,0.51,0.75,0.21,0.53,0.19,0.57
3/31/1981,0.94,1.21,0.45,1.01,0.45,1.06
4/1/1981,0.91,1.13,0.47,1.11,0.52,1.16
4/2/1981,0.35,0.32,0.14,0.34,0.15,0.33
4/3/1981,0.33,0.18,0.15,0.18,0.13,0.15
4/4/1981,0.11,0.11,0.18,0.10,0.15,0.09
4/5/1981,0.37,0.41,0.25,0.36,0.25,0.35
4/6/1981,0.20,0.09,0.15,0.13,0.13,0.06
4/7/1981,0.36,0.12,0.33,0.22,0.30,0.15
4/8/1981,0.48,0.54,0.40,0.50,0.39,0.48
4/9/1981,0.70,1.05,0.31,0.91,0.36,0.94
4/10/1981,0.35,0.47,0.30,0.36,0.34,0.38
4/11/1981,0.98,1.55,0.76,1.19,0.80,1.28
4/12/1981,0.92,1.13,0.46,1.06,0.51,1.09
4/13/1981,0.27,0.26,0.06,0.34,0.07,0.33
4/14/1981,0.01,0.00,0.02,0.00,0.02,0.00
4/15/1981,0.08,0.06,0.03,0.06,0.03,0.06
4/16/1981,0.14,0.23,0.06,0.21,0.07,0.23
4/17/1981,0.00,0.00,0.02,0.00,0.02,0.00
4/18/1981,0.00,0.00,0.00,0.00,0.00,0.00
4/19/1981,0.02,0.00,0.01,0.00,0.01,0.00
4/20/1981,0.13,0.03,0.13,0.05,0.09,0.03
4/21/1981,0.23,0.14,0.27,0.20,0.25,0.15
4/22/1981,0.02,0.08,0.10,0.04,0.09,0.07
4/23/1981,0.06,0.02,0.10,0.04,0.09,0.03
4/24/1981,0.24,0.09,0.13,0.16,0.13,0.10
4/25/1981,0.04,0.00,0.00,0.02,0.00,0.00
4/26/1981,0.03,0.00,0.03,0.00,0.02,0.00
4/27/1981,0.24,0.15,0.31,0.14,0.24,0.15
4/28/1981,0.50,0.56,0.55,0.55,0.60,0.56
4/29/1981,0.00,0.00,0.00,0.00,0.00,0.00
4/30/1981,0.00,0.00,0.00,0.00,0.00,0.00
5/1/1981,0.02,0.01,0.00,0.01,0.00,0.01
5/2/1981,0.08,0.10,0.05,0.07,0.04,0.08
5/3/1981,0.13,0.27,0.13,0.18,0.15,0.23
5/4/1981,0.31,0.35,0.19,0.30,0.26,0.31
5/5/1981,0.52,0.90,0.34,0.74,0.43,0.84
5/6/1981,0.08,0.16,0.24,0.08,0.26,0.10
5/7/1981,0.13,0.04,0.08,0.08,0.06,0.05
5/8/1981,0.00,0.01,0.00,0.00,0.00,0.00
5/9/1981,0.00,0.03,0.00,0.01,0.00,0.02
5/10/1981,0.00,0.00,0.00,0.00,0.00,0.00
5/11/1981,0.00,0.00,0.00,0.00,0.00,0.00
5/12/1981,0.00,0.00,0.00,0.00,0.00,0.00
