Date,DAIRY,DLLO,RCTV,TRGC,WSLO,Hagg
1/1/1981,7.74,7.94,8.05,7.91,7.81,8.13
1/2/1981,7.01,7.50,7.85,6.99,7.50,7.42
1/3/1981,6.66,7.10,7.83,6.57,7.40,7.02
1/4/1981,6.39,6.11,7.52,6.13,7.35,6.20
1/5/1981,5.73,6.18,6.74,5.82,6.67,6.17
1/6/1981,6.54,6.65,7.68,6.53,7.63,6.70
1/7/1981,5.17,5.07,5.98,4.91,5.83,5.07
1/8/1981,5.47,5.11,6.42,5.22,6.15,5.20
1/9/1981,5.20,5.13,6.16,4.84,5.91,5.08
1/10/1981,5.29,5.63,5.96,5.38,5.89,5.68
1/11/1981,4.10,4.84,6.21,4.12,6.00,4.73
1/12/1981,2.69,3.71,4.56,2.88,4.20,3.58
1/13/1981,3.38,4.08,4.21,3.37,4.08,3.91
1/14/1981,3.81,4.32,4.33,3.78,4.23,4.23
1/15/1981,3.38,3.61,4.34,3.17,4.28,3.48
1/16/1981,3.57,3.77,4.65,3.49,4.73,3.71
1/17/1981,2.68,2.67,4.40,2.41,4.38,2.59
1/18/1981,3.86,3.77,5.46,3.67,5.54,3.73
1/19/1981,6.77,7.25,7.82,6.77,7.87,7.22
1/20/1981,4.16,4.64,5.50,4.07,5.47,4.50
1/21/1981,5.56,5.51,7.30,5.09,7.08,5.40
1/22/1981,8.60,8.78,10.26,8.64,10.52,8.81
1/23/1981,8.18,7.95,8.78,7.88,8.89,7.98
1/24/1981,5.39,4.80,6.51,5.03,6.31,4.83
1/25/1981,3.86,2.90,5.28,3.22,5.19,2.92
1/26/1981,4.14,2.96,5.49,3.31,5.25,3.00
1/27/1981,5.34,4.84,5.86,4.99,5.94,4.93
1/28/1981,2.59,2.39,3.63,2.23,3.51,2.34
1/29/1981,3.27,3.04,4.45,3.01,4.15,3.02
1/30/1981,3.38,2.75,4.76,2.96,4.57,2.83
1/31/1981,2.72,1.65,3.83,2.13,3.71,1.63
2/1/1981,2.36,1.85,3.22,1.84,3.18,1.84
2/2/1981,1.25,0.81,2.18,0.74,2.13,0.62
2/3/1981,1.38,0.85,1.58,0.63,1.35,0.59
2/4/1981,2.53,2.67,3.29,2.47,3.38,2.63
2/5/1981,0.22,-0.65,1.28,-0.67,0.98,-0.72
2/6/1981,1.27,0.90,1.96,0.80,2.00,0.78
2/7/1981,1.87,1.79,2.89,1.58,2.73,1.70
2/8/1981,2.14,1.25,2.87,1.67,2.85,1.33
2/9/1981,1.74,0.25,1.51,0.96,1.55,0.26
2/10/1981,0.55,0.04,0.90,0.17,1.19,0.07
2/11/1981,0.35,-0.23,0.99,0.06,1.12,-0.18
2/12/1981,3.52,3.03,5.58,2.75,5.26,2.84
2/13/1981,9.65,10.07,10.07,9.92,10.51,10.07
2/14/1981,9.24,8.78,10.47,8.98,10.50,8.86
2/15/1981,9.65,8.93,10.82,9.38,10.66,9.11
2/16/1981,9.74,9.23,10.78,9.51,10.54,9.35
2/17/1981,9.90,9.27,10.95,9.69,11.05,9.40
2/18/1981,9.23,8.39,10.48,8.76,10.22,8.47
2/19/1981,10.80,10.07,11.81,10.42,11.94,10.20
2/20/1981,6.32,5.02,6.62,5.77,6.54,5.12
2/21/1981,5.65,4.45,6.29,5.00,6.12,4.46
2/22/1981,5.67,5.71,6.89,5.47,6.52,5.64
