ID,name,huc8,Shape_Leng,Shape_Area,area_ha,central_la,central_lo,Note,states,DR
Sb1_1,Tioga,2050104,4.663067812,0.389188486,358078.7439,42.02266661,-77.36800825, ,"NY,PA",0.168985928
Sb1_2,Chemung,2050105,5.117947789,0.341821827,313421.6133,42.22811557,-77.05589502, ,"NY,PA",0.171823175
Sb2_1,Chenango,2050102,4.95808096,0.456177185,415731.8658,42.57801563,-75.80664796, ,NY,0.165861731
Sb2_2,Upper Susquehanna,2050101,6.487120381,0.648157514,591892.2299,42.44314663,-75.24567256, ,"NY,PA",0.158696566
Sb2_3,Owego-Wappasening,2050103,3.882701278,0.294530052,270195.2366,42.16795205,-76.28542546, ,"NY,PA",0.175040339
Sb3_1,Upper Susquehanna-Tunkhannock,2050106,5.292372621,0.561490618,518988.1886,41.67885826,-76.16999297, ,PA,0.161325557
Sb3_2,Upper Susquehanna-Lackawanna,2050107,6.414272044,0.490664349,456990.7098,41.17484895,-76.09862054, ,PA,0.163911504
Sb4_1,Upper West Branch Susquehanna,2050201,4.286974329,0.441849125,413914.1238,40.91003613,-78.41911165, ,PA,0.165952606
Sb4_2,Sinnemahoning,2050202,3.655510406,0.288491157,268048.2395,41.43913889,-78.24623586, ,PA,0.175214982
Sb4_3,Bald Eagle,2050204,3.400543187,0.214284484,200370.2384,40.98238725,-77.72441121, ,PA,0.181705765
Sb4_4,Middle West Branch Susquehanna,2050203,3.190208417,0.218595691,203212.7785,41.36651184,-77.68389871, ,PA,0.181386091
Sb4_5,Pine,2050205,3.942665084,0.274344192,254051.5738,41.60742124,-77.45007638, ,PA,0.176393518
Sb4_6,Lower West Branch Susquehanna,2050206,5.043790373,0.503610611,468474.2792,41.28098696,-76.85105374, ,PA,0.163403795
Sb5_1,Raystown,2050303,3.992386375,0.263269588,249499.9087,40.12180448,-78.3931208, ,PA,0.17679259
Sb5_2,Upper Juniata,2050302,3.429897294,0.272833544,256889.9875,40.54906266,-78.19063799, ,PA,0.176148707
Sb5_3,Lower Juniata,2050304,4.719614233,0.398749627,375813.597,40.44323525,-77.61804467, ,PA,0.167967902
Sb6_1,Lower Susquehanna-Penns,2050301,5.493886874,0.399845471,375011.1554,40.73733407,-76.92880222, ,PA,0.168012786
Sb6_2,Lower Susquehanna-Swatara,2050305,6.402928415,0.746659833,706083.9217,40.1768873,-76.96361285,We extend the area to fit 1576000 outlet.,PA,0.155235419
