,1531000,1515000,1540500,1553500,1567000,1576000
10/1/1984,,,1109.440673,1252.866463,244.6675248,
11/1/1984,,,3388.33224,5184.55656,4953.22464,
12/1/1984,,,50058.41312,29388.22568,13358.2844,
1/1/1985,,,34731.53944,13569.20468,928.049232,
2/1/1985,,,56009.54016,34672.57248,25528.15776,
3/1/1985,,,73962.71152,38949.94504,8900.835816,
4/1/1985,,,38646.0384,49396.1688,23541.4248,
5/1/1985,,,13850.43172,4288.71236,9800.762344,
6/1/1985,,,9539.03976,5021.26344,3497.19432,
7/1/1985,,,4907.411848,1799.853056,480.8982384,
8/1/1985,,,5301.129704,618.699488,638.3853808,
9/1/1985,,,44905.608,1905.0864,235.414248,
10/1/1985,,,24607.366,1212.088542,535.7375112,
11/1/1985,,,70079.964,79197.1632,47763.2376,
12/1/1985,,,34028.47184,28825.7716,2516.982008,
1/1/1986,,,66088.3544,16873.6224,1203.651731,
2/1/1986,,,54993.49408,29592.34208,31878.44576,
3/1/1986,,,884459.0408,192640.5224,147644.196,
4/1/1986,,,53886.7296,32114.3136,9089.98368,
5/1/1986,,,33887.85832,4879.289144,4105.914784,
6/1/1986,,,51029.1,15512.8464,5742.47472,
7/1/1986,,,6622.896792,4330.896416,3163.8042,
8/1/1986,,,38246.87744,1996.711984,1434.257904,
9/1/1986,,,2463.00456,1632.9312,304.813824,
10/1/1986,,,12598.97139,6243.240288,285.4454456,7340.025744
11/1/1986,,,153767.688,39734.6592,8409.59568,292566.84
12/1/1986,,,38949.94504,27279.02288,7874.35712,161705.548
1/1/1987,,,5694.84756,5329.252408,3121.620144,25029.20656
2/1/1987,,,1968.58928,1409.763936,2502.013472,15240.6912
3/1/1987,,,110240.9997,28544.54456,5230.822944,179985.3056
4/1/1987,,,398707.368,57969.0576,84912.4224,711685.848
5/1/1987,,,12528.66463,9139.8788,15467.4872,53854.97816
6/1/1987,,,5796.90576,3129.7848,2136.41832,33883.3224
7/1/1987,,,22216.93616,7086.921408,2123.264152,25591.66064
8/1/1987,,,2938.822568,662.2896792,883.0529056,11572.4927
9/1/1987,,,86817.5088,13879.9152,3959.85816,145603.032
10/1/1987,,,9505.473952,8914.897168,520.270024,19264.05224
11/1/1987,,,16873.6224,2476.61232,1159.381152,21228.1056
12/1/1987,,,29247.61216,8985.203928,5385.497816,77196.82248
1/1/1988,,,3627.828816,3135.681496,8661.792832,22076.32264
2/1/1988,,,52485.13032,104312.5522,12970.00965,310438.3648
3/1/1988,,,45840.00752,25029.20656,5540.172688,124021.1246
4/1/1988,,,10382.72088,5892.16008,8355.16464,67766.6448
