,1531000,1515000,1540500,1553500,1567000,1576000
1/1/1985,,,410569.2524,259456.5291,124367.0793,
1/1/1986,,,1396993.96,372830.398,221136.9408,
1/1/1987,,,702537.351,147528.1218,127402.1087,1320135.518
1/1/1988,,,338122.8989,239980.4226,96818.71345,1226549.963
1/1/1989,,,871261.328,427528.649,292955.4822,2246941.454
1/1/1990,,,1118446.288,317892.2421,187825.6433,2268689.83
1/1/1991,,,470930.0552,194914.742,80517.20664,1007841.961
1/1/1992,,,646190.7919,177065.0803,45924.55707,1248439.405
1/1/1993,,,2336482.329,612278.2129,243040.9892,3716127.303
1/1/1994,,,2409916.606,1758661.459,246718.0782,3013607.642
1/1/1995,,,302368.5095,177843.8524,95385.58952,1041804.209
1/1/1996,,,2225247.056,1405011.199,561914.7591,7184135.245
1/1/1997,,,219130.4313,236690.9734,114299.6955,844175.5353
1/1/1998,,,1473001.374,553509.2458,132847.2992,2252999.629
1/1/1999,,,466973.2815,236863.5652,103227.0612,1727721.495
1/1/2000,,,1024877.97,241574.1634,78850.43748,1958809.836
1/1/2001,,,1297655.861,316575.2378,106547.4907,1362652.057
1/1/2002,,,495390.8203,206010.1012,103952.0373,1341317.81
1/1/2003,,,1320321.944,608496.8431,366780.8868,3496609.186
1/1/2004,,,3041691.337,1220825.178,421274.4772,6975587.252
1/1/2005,403858.8123,717464.5647,1960396.547,395590.2838,145836.1783,3210460.673
1/1/2006,575825.4732,1306717.813,2281114.168,213803.3108,87124.77202,2954612.106
1/1/2007,318873.5884,660888.7149,985893.0982,335337.1637,77396.72047,1192184.472
1/1/2008,208638.0772,580955.1905,1018353.503,204927.9214,283741.8901,2150753.642
1/1/2009,94822.95401,241939.6225,488241.8929,137000.2061,66630.71435,1102709.368
1/1/2010,275258.9486,316606.7624,1260034.124,352705.156,184461.3515,2067288.631
1/1/2011,507201.9024,1192448.462,2602758.523,548845.3221,260303.0678,7638079.233
1/1/2012,38937.64362,111840.0022,362893.6034,97951.1966,79842.85141,676677.1638
1/1/2013,85320.02017,446742.7608,591605.9842,165026.7033,75554.68336,922851.0677
1/1/2014,114474.6324,185031.063,769330.1337,170650.9719,110751.5175,1464916.187
1/1/2015,88425.86439,269412.8735,585709.2882,235257.7588,85949.56051,1196196.675
1/1/2016,84043.41724,127310.5285,363388.1094,114233.9247,49280.92014,954991.6443
1/1/2017,188891.58,524309.3061,1115793.274,268188.0844,83411.57719,1509854
1/1/2018,516791.8805,1157525.054,3210183.982,842601.571,257220.2298,4021682.75
1/1/2019,184747.1144,426808.7532,1109180.311,400645.113,107165.1016,2289331.441
