date,Sb1_2,Sb2_3,Sb3_2,Sb4_6,Sb5_3,Sb6_2
1985-01-01,126.2931,470.0597,942.951,908.9708,125.7268,2166.2388
1985-01-02,165.0872,450.2379,869.3272,818.3569,109.0199,2123.7635
1985-01-03,137.0535,453.0695,792.8717,713.5845,105.3387,1945.3674
1985-01-04,109.303,396.4359,784.3767,594.6538,102.507,1727.3276
1985-01-05,96.8436,319.9804,710.7528,529.525,98.2595,1588.5751
1985-01-06,83.8179,274.1071,605.9805,472.8913,95.7109,1444.1592
1985-01-07,74.7565,252.3031,521.03,419.0893,92.0298,1288.4165
1985-01-08,71.3585,233.8972,472.8913,370.9507,88.6317,1127.0105
1985-01-09,48.1386,198.2179,427.5844,325.6437,84.3842,999.5847
1985-01-10,39.6436,164.2377,379.4457,268.4437,79.2872,889.149
1985-01-11,36.8119,133.0892,308.6536,209.5447,70.7921,798.5351
1985-01-12,36.8119,121.7624,248.3387,181.2278,67.9604,656.9508
1985-01-13,39.6436,121.7624,232.1981,184.0595,65.1287,501.2082
1985-01-14,42.4753,118.9308,215.208,189.7229,62.2971,543.6835
1985-01-15,45.307,113.2674,198.2179,167.0694,59.4654,594.6538
1985-01-16,33.9802,110.4357,181.2278,152.911,56.6337,518.1983
1985-01-17,31.1485,101.9406,169.9011,138.7525,53.802,495.5448
1985-01-18,31.1485,96.2773,164.2377,138.7525,50.9703,521.03
1985-01-19,28.3168,90.6139,155.7427,135.9209,45.307,515.3666
1985-01-20,28.3168,82.1189,144.4159,133.0892,45.307,444.5745
1985-01-21,27.7505,70.7921,99.109,99.109,42.4753,254.8516
1985-01-22,27.1842,56.6337,99.109,96.2773,42.4753,232.1981
1985-01-23,26.0515,62.2971,121.7624,113.2674,45.307,220.8714
1985-01-24,25.4852,79.2872,133.0892,133.0892,48.1386,271.8417
1985-01-25,24.9188,90.6139,147.2476,138.7525,50.9703,373.7824
1985-01-26,24.3525,90.6139,144.4159,135.9209,45.307,441.7428
1985-01-27,23.7862,84.9505,135.9209,130.2575,48.1386,419.0893
1985-01-28,23.7862,82.1189,150.0793,124.5941,45.307,436.0794
1985-01-29,23.2198,79.2872,150.0793,118.9308,42.4753,467.228
1985-01-30,23.2198,73.6238,141.5842,116.0991,42.4753,458.7329
1985-01-31,23.2198,67.9604,144.4159,110.4357,36.8119,450.2379
1985-02-01,22.6535,67.9604,150.0793,107.604,36.8119,421.921
1985-02-02,22.0871,62.2971,144.4159,99.109,39.6436,413.426
1985-02-03,22.0871,56.6337,138.7525,87.7822,36.8119,382.2774
1985-02-04,22.0871,56.6337,127.4258,79.2872,36.8119,365.2873
1985-02-05,22.0871,53.802,121.7624,82.1189,33.9802,356.7923
1985-02-06,22.0871,50.9703,127.4258,82.1189,33.9802,328.4754
1985-02-07,22.0871,50.9703,138.7525,79.2872,36.8119,319.9804
1985-02-08,22.0871,48.1386,127.4258,79.2872,33.9802,305.8219
1985-02-09,20.9545,45.307,121.7624,76.4555,31.1485,266.1784
1985-02-10,21.5208,45.307,124.5941,79.2872,33.9802,305.8219
1985-02-11,21.5208,50.9703,124.5941,113.2674,36.8119,297.3269
1985-02-12,22.6535,53.802,138.7525,283.1685,65.1287,549.3468
1985-02-13,28.3168,59.4654,167.0694,424.7527,226.5348,1152.4957
1985-02-14,39.6436,73.6238,164.2377,509.7032,588.9904,1565.9216
1985-02-15,45.307,79.2872,181.2278,453.0695,424.7527,1469.6443
1985-02-16,42.4753,76.4555,195.3862,368.119,294.4952,1200.6343
1985-02-17,36.8119,73.6238,198.2179,311.4853,201.0496,1047.7233
1985-02-18,33.9802,70.7921,195.3862,274.6734,178.6793,940.1193
1985-02-19,31.1485,65.1287,189.7229,252.0199,160.5565,914.6341
1985-02-20,28.3168,62.2971,184.0595,232.1981,149.7961,874.9906
1985-02-21,26.0515,59.4654,175.5644,220.8714,130.5407,894.8124
1985-02-22,33.9802,53.802,172.7328,218.0397,115.5327,829.6836
1985-02-23,108.4535,93.4456,189.7229,424.7527,141.5842,815.5252
1985-02-24,453.0695,311.4853,226.5348,444.5745,264.7625,925.9609
1985-02-25,538.0201,665.4459,509.7032,1141.1689,450.2379,1277.0898
1985-02-26,305.8219,792.8717,1444.1592,1359.2086,438.9111,3058.2194
1985-02-27,183.7763,676.7726,1435.6641,1098.6936,331.3071,3511.289
1985-02-28,142.4337,521.03,1192.1392,877.8222,254.0021,3001.5857
1985-03-01,104.7723,399.2675,937.2876,710.7528,219.4556,2452.2389
1985-03-02,98.5426,348.2972,758.8915,594.6538,193.9704,1990.6743
1985-03-03,90.8971,331.3071,631.4657,492.7131,178.113,1684.8524
1985-03-04,73.6238,300.1586,572.0003,419.0893,142.1506,1427.1691
1985-03-05,65.6951,270.4259,535.1884,382.2774,118.6476,1248.7729
1985-03-06,88.3486,297.3269,498.3765,368.119,110.4357,1146.8323
1985-03-07,77.0218,305.8219,489.8814,368.119,109.8694,1078.8719
1985-03-08,78.1545,288.8318,498.3765,328.4754,107.3208,1056.2184
1985-03-09,173.0159,319.9804,492.7131,319.9804,103.3565,1027.9015
1985-03-10,148.9466,336.9705,498.3765,339.8022,85.8,993.9213
1985-03-11,123.7446,342.6338,605.9805,328.4754,78.1545,979.7629
1985-03-12,209.5447,540.8518,608.8122,368.119,85.8,1095.862
1985-03-13,302.9903,1078.8719,775.8816,860.8321,114.9664,1138.3372
1985-03-14,215.208,1067.5451,1427.1691,1095.862,151.212,1934.0406
1985-03-15,174.1486,829.6836,1495.1295,872.1589,131.9565,2831.6847
1985-03-16,135.3545,625.8023,1262.9314,716.4162,121.1961,2579.6647
1985-03-17,119.4971,512.5349,1010.9114,594.6538,98.2595,2157.7437
1985-03-18,103.3565,438.9111,835.347,506.8716,90.6139,1752.8128
1985-03-19,83.5347,359.624,724.9113,438.9111,86.6496,1492.2978
1985-03-20,79.8535,308.6536,622.9706,379.4457,82.9684,1316.7334
1985-03-21,79.8535,291.6635,535.1884,342.6338,79.8535,1158.159
1985-03-22,68.2436,276.3724,484.2181,308.6536,76.4555,1030.7332
1985-03-23,64.8456,251.7368,464.3963,283.1685,77.0218,951.446
1985-03-24,127.9921,242.6754,438.9111,328.4754,183.7763,954.2777
1985-03-25,231.6318,245.7902,430.4161,546.5151,410.5943,1228.9511
1985-03-26,155.7427,231.915,526.6933,756.0598,399.2675,1568.7533
1985-03-27,127.709,209.8278,560.6736,724.9113,308.6536,1781.1297
1985-03-28,148.0971,198.7843,467.228,645.6241,263.3467,1690.5157
1985-03-29,177.2635,231.3486,438.9111,605.9805,266.4615,1531.9414
1985-03-30,142.7169,291.6635,467.228,824.0202,560.6736,1642.3771
1985-03-31,159.9902,322.8121,529.525,1056.2184,591.8221,2231.3675
1985-04-01,478.5547,413.426,628.634,1132.6739,846.6737,2729.744
1985-04-02,302.9903,438.9111,1016.5748,1446.9909,897.644,3341.3879
1985-04-03,198.5011,413.426,1095.862,1299.7433,665.4459,3794.4574
1985-04-04,183.21,368.119,906.1391,1093.0303,509.7032,3284.7542
1985-04-05,159.707,345.4655,778.7133,951.446,390.7725,2712.7539
1985-04-06,137.0535,342.6338,713.5845,838.1787,334.1388,2299.3279
1985-04-07,120.0634,328.4754,665.4459,747.5648,294.4952,2050.1397
1985-04-08,103.0733,305.8219,628.634,676.7726,261.9308,1846.2584
1985-04-09,91.4634,275.2397,594.6538,608.8122,236.7288,1721.6643
1985-04-10,84.101,249.7546,549.3468,552.1785,197.0853,1554.5949
1985-04-11,77.305,228.2338,492.7131,495.5448,183.4932,1435.6641
1985-04-12,74.1901,211.5268,455.9012,455.9012,182.6437,1305.4066
1985-04-13,65.4119,197.6516,421.921,419.0893,206.9961,1234.6145
1985-04-14,58.899,183.4932,393.6042,379.4457,179.812,1160.9907
1985-04-15,54.9347,171.6001,370.9507,359.624,169.3347,1090.1986
1985-04-16,53.5188,163.6714,348.2972,339.8022,156.0258,1010.9114
1985-04-17,50.9703,156.5922,331.3071,319.9804,146.9644,957.1094
1985-04-18,45.0238,141.5842,311.4853,297.3269,125.4436,897.644
1985-04-19,40.7763,128.2753,297.3269,275.5229,116.0991,824.0202
1985-04-20,45.5901,175.2813,283.1685,254.8516,109.8694,775.8816
1985-04-21,61.7307,186.8912,300.1586,243.5249,101.9406,730.5746
1985-04-22,56.0674,168.2021,334.1388,230.4991,88.0654,702.2578
1985-04-23,47.006,151.212,336.9705,214.9249,83.2515,710.7528
1985-04-24,40.7763,134.505,311.4853,206.4298,82.1189,707.9212
1985-04-25,37.3782,123.1783,291.6635,202.4655,101.6575,673.9409
1985-04-26,36.5287,120.0634,269.8595,194.5367,91.1802,665.4459
1985-04-27,35.1129,119.4971,255.7011,181.511,92.0298,620.1389
1985-04-28,32.2812,112.701,242.9585,170.1842,86.9327,588.9904
1985-04-29,29.4495,105.6218,233.614,160.2734,82.402,555.0102
1985-04-30,27.5523,101.3743,219.4556,151.4951,78.1545,526.6933
1985-05-01,25.8816,93.4456,206.4298,144.1327,63.7129,501.2082
1985-05-02,24.4091,86.3664,205.2971,148.6634,66.5446,489.8814
1985-05-03,23.3897,79.5703,314.317,212.3763,199.6338,693.7627
1985-05-04,22.4836,74.4733,376.6141,253.7189,410.5943,1169.4858
1985-05-05,21.5208,70.5089,311.4853,314.317,359.624,1322.3967
1985-05-06,21.6341,67.9604,265.0457,314.317,288.8318,1220.4561
1985-05-07,22.7667,70.7921,247.4892,283.1685,222.0041,1078.8719
1985-05-08,24.4658,80.9862,234.4635,269.2932,195.1031,894.8124
1985-05-09,23.4463,100.5248,216.907,250.3209,153.4773,812.6935
1985-05-10,21.4075,97.41,207.5625,219.4556,120.6298,705.0895
1985-05-11,20.105,80.4198,213.2259,192.2714,110.1525,577.6637
1985-05-12,18.9723,72.208,210.111,181.7942,104.4892,603.1488
1985-05-13,18.1228,67.9604,200.2001,191.7051,106.4713,597.4855
1985-05-14,18.2077,65.4119,191.7051,207.8457,101.9406,608.8122
1985-05-15,18.236,64.2792,176.6971,184.3427,94.5783,603.1488
1985-05-16,17.1883,62.2971,163.105,166.2199,88.3486,523.8617
1985-05-17,16.9052,61.1644,167.9189,161.6892,77.305,489.8814
1985-05-18,18.9157,62.2971,191.1387,203.5981,112.1347,622.9706
1985-05-19,21.3509,90.6139,235.5962,207.8457,145.8318,648.4558
1985-05-20,22.5119,78.4377,222.0041,199.3506,115.8159,673.9409
1985-05-21,19.6519,68.8099,213.509,184.909,95.1446,642.7924
1985-05-22,18.4626,63.7129,201.6159,163.3882,74.1901,605.9805
1985-05-23,16.9052,57.4832,178.6793,147.8139,69.6594,549.3468
1985-05-24,15.2061,52.103,162.5387,137.903,69.6594,515.3666
1985-05-25,14.0168,47.5723,150.9288,129.408,81.2693,458.7329
1985-05-26,13.1107,42.7584,138.1862,121.1961,69.3763,441.7428
1985-05-27,12.7709,38.5109,126.5763,114.4001,58.6159,404.9309
1985-05-28,13.762,41.9089,125.7268,113.8337,55.501,359.624
1985-05-29,17.7547,54.3683,163.105,164.804,65.9783,362.4556
1985-05-30,26.278,68.2436,191.7051,193.9704,90.3307,370.9507
1985-05-31,21.4925,60.3149,176.6971,173.2991,71.9248,484.2181
1985-06-01,26.1931,62.8634,225.6853,294.4952,69.6594,521.03
1985-06-02,48.1386,69.0931,302.9903,467.228,91.7466,509.7032
1985-06-03,31.4317,63.4297,278.9209,385.1091,91.1802,880.6539
1985-06-04,22.8234,56.0674,249.7546,317.1487,73.907,900.4757
1985-06-05,19.7652,48.705,248.6219,302.9903,69.0931,750.3964
1985-06-06,18.1228,42.7584,259.6655,291.6635,66.2614,688.0994
1985-06-07,16.9052,39.6436,201.0496,250.0378,63.4297,724.9113
1985-06-08,16.0273,37.3782,171.3169,226.2516,57.4832,631.4657
1985-06-09,13.9602,35.3961,157.4417,198.5011,55.2179,543.6835
1985-06-10,13.1107,33.697,141.8674,176.6971,54.9347,501.2082
1985-06-11,12.3178,32.5644,128.2753,162.8219,52.103,455.9012
1985-06-12,12.1196,31.4317,116.9486,148.9466,50.1208,407.7626
1985-06-13,12.6576,30.0159,109.0199,139.0357,46.1565,382.2774
1985-06-14,17.4715,29.4495,104.206,138.1862,42.1921,342.6338
1985-06-15,17.0184,34.8297,100.5248,137.6199,41.0594,317.1487
1985-06-16,15.6592,37.0951,131.6733,131.107,60.8812,351.1289
1985-06-17,15.1495,38.5109,162.8219,131.107,81.2693,438.9111
1985-06-18,20.4448,38.7941,146.1149,143.2832,101.0911,504.0399
1985-06-19,18.4626,39.3604,137.3367,160.8397,79.2872,504.0399
1985-06-20,16.4521,38.5109,123.7446,160.2734,65.9783,458.7329
1985-06-21,14.4133,37.9446,120.6298,144.1327,62.5802,433.2478
1985-06-22,13.4788,35.3961,116.6654,127.9921,56.9169,402.0992
1985-06-23,12.6576,33.1307,108.7367,118.0813,52.6693,370.9507
1985-06-24,12.601,32.8475,103.3565,107.8872,48.9881,348.2972
1985-06-25,12.2046,32.5644,107.604,105.6218,47.006,334.1388
1985-06-26,10.8737,30.5822,103.9228,101.3743,44.7406,294.4952
1985-06-27,9.9392,27.4107,94.5783,92.0298,41.6258,283.1685
1985-06-28,9.3729,25.4002,88.6317,85.5169,40.4931,277.2219
1985-06-29,9.8826,25.7966,89.4812,82.9684,40.2099,261.0813
1985-06-30,11.4966,27.977,87.2159,80.4198,37.0951,253.1526
1985-07-01,12.1479,30.0159,86.0832,80.703,33.9802,256.5506
1985-07-02,11.2984,30.8654,86.3664,77.8713,33.4139,246.0734
1985-07-03,10.279,33.4139,84.9505,75.0396,31.998,237.012
1985-07-04,9.8826,32.5644,85.8,71.6416,31.7149,236.4457
1985-07-05,9.203,29.1664,88.3486,69.6594,31.1485,233.3308
1985-07-06,10.7887,26.6178,84.6674,70.5089,34.2634,222.2872
1985-07-07,10.1657,23.9561,87.7822,73.907,34.5466,229.3665
1985-07-08,10.0242,24.4658,88.6317,82.9684,33.4139,235.8793
1985-07-09,10.0242,27.3541,87.7822,96.5604,35.6792,233.0476
1985-07-10,9.4578,28.3168,83.2515,123.7446,35.3961,237.012
1985-07-11,9.5994,34.2634,77.0218,151.7783,42.1921,253.1526
1985-07-12,9.9675,37.3782,89.7644,149.2298,41.9089,264.7625
1985-07-13,20.9261,52.3862,129.9743,137.6199,39.3604,288.8318
1985-07-14,15.0362,45.307,142.1506,131.107,35.3961,291.6635
1985-07-15,12.3461,37.9446,143.0001,118.0813,35.9624,322.8121
1985-07-16,12.9125,39.6436,156.0258,109.0199,33.1307,336.9705
1985-07-17,12.3461,45.5901,164.2377,110.4357,34.8297,319.9804
